,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
3745,50,8,33,Colorado,Dolores County,11,2,133,71,62,67,57,1,1,1,1,0,0,0,0,2,3,69,59,1,3,3,3,0,0,0,0,64,55,60,51,1,1,1,1,0,0,0,0,2,2,62,53,1,2,3,2,0,0,0,0,7,7,7,6,0,0,0,0,0,0,0,0,0,1,7,6,0,1,0,1,0,0,0,0
3746,50,8,33,Colorado,Dolores County,11,3,129,67,62,61,52,0,0,2,2,0,0,0,0,4,8,65,60,1,3,4,6,1,1,0,0,61,60,55,50,0,0,2,2,0,0,0,0,4,8,59,58,1,3,4,6,1,1,0,0,6,2,6,2,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
3747,50,8,33,Colorado,Dolores County,11,4,112,63,49,49,43,0,0,7,3,0,0,0,0,7,3,56,46,2,1,12,5,0,0,0,0,53,45,40,40,0,0,6,2,0,0,0,0,7,3,47,43,2,1,11,4,0,0,0,0,10,4,9,3,0,0,1,1,0,0,0,0,0,0,9,3,0,0,1,1,0,0,0,0
3748,50,8,33,Colorado,Dolores County,11,5,84,49,35,43,29,0,0,3,2,1,0,0,0,2,4,45,33,0,2,3,4,3,0,0,0,43,28,38,24,0,0,2,1,1,0,0,0,2,3,40,27,0,1,2,3,3,0,0,0,6,7,5,5,0,0,1,1,0,0,0,0,0,1,5,6,0,1,1,1,0,0,0,0
3749,50,8,33,Colorado,Dolores County,11,6,87,42,45,34,42,2,1,3,1,0,1,0,0,3,0,37,42,2,1,5,1,1,1,0,0,41,43,33,40,2,1,3,1,0,1,0,0,3,0,36,40,2,1,5,1,1,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
3750,50,8,33,Colorado,Dolores County,11,7,81,41,40,40,39,0,0,1,0,0,0,0,0,0,1,40,40,0,0,1,1,0,0,0,0,37,38,36,37,0,0,1,0,0,0,0,0,0,1,36,38,0,0,1,1,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
3751,50,8,33,Colorado,Dolores County,11,8,120,65,55,61,52,1,0,3,2,0,0,0,0,0,1,61,53,1,1,3,2,0,0,0,0,58,52,56,49,0,0,2,2,0,0,0,0,0,1,56,50,0,1,2,2,0,0,0,0,7,3,5,3,1,0,1,0,0,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0
3752,50,8,33,Colorado,Dolores County,11,9,115,54,61,52,57,0,0,1,4,0,0,0,0,1,0,53,57,0,0,2,4,0,0,0,0,50,59,48,55,0,0,1,4,0,0,0,0,1,0,49,55,0,0,2,4,0,0,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
3753,50,8,33,Colorado,Dolores County,11,10,126,68,58,64,51,0,0,4,5,0,0,0,0,0,2,64,53,0,2,4,5,0,0,0,0,66,47,62,42,0,0,4,3,0,0,0,0,0,2,62,44,0,2,4,3,0,0,0,0,2,11,2,9,0,0,0,2,0,0,0,0,0,0,2,9,0,0,0,2,0,0,0,0
3754,50,8,33,Colorado,Dolores County,11,11,134,64,70,61,68,0,0,3,2,0,0,0,0,0,0,61,68,0,0,3,2,0,0,0,0,59,64,57,62,0,0,2,2,0,0,0,0,0,0,57,62,0,0,2,2,0,0,0,0,5,6,4,6,0,0,1,0,0,0,0,0,0,0,4,6,0,0,1,0,0,0,0,0
